date,actions_lock_total,actions_give_total,actions_exit_total,actions_free_total,actions_open_total,actions_bite_total,actions_draw_total,actions_join_total,actions_shut_total,actions_wipe_total
2019-09-05,146,79,79,76,84,3,154,147,16,82
2019-10-01,177,57,94,92,45,0,182,180,30,97
2019-10-21,1245,1100,182,178,1107,17,1323,1247,112,210
2019-11-10,129,23,79,79,39,0,160,129,25,86
2019-11-30,95,32,89,81,31,0,104,95,23,71
2019-12-19,38,23,81,67,7,0,33,39,16,70
2020-01-08,56,40,59,40,19,0,66,56,35,36
2020-01-28,24,20,45,30,7,0,43,24,23,24
2020-02-17,42,18,29,26,15,0,47,42,12,19
2019-03-10,106,16,73,71,31,1,98,107,14,62
2019-03-11,137,26,57,56,31,1,142,137,4,62
2019-03-12,161,23,106,101,34,2,150,164,12,95
2019-06-10,118,9,82,82,8,0,105,118,8,69
2019-06-11,101,22,70,67,28,2,124,102,11,69
2019-06-12,153,38,71,71,29,0,177,153,17,59
2019-07-24,136,47,110,107,25,4,135,138,9,109
2019-07-25,105,40,74,73,32,0,119,106,16,86
2019-07-26,1998,1875,226,225,1880,3,2070,1998,138,288
2019-09-12,903,791,110,110,837,0,975,902,54,99
2019-10-02,145,51,73,73,48,1,175,145,24,73
2019-10-22,1222,1069,183,182,1091,5,1306,1222,124,206
2019-11-11,146,37,78,78,45,1,151,146,22,70
2019-12-01,331,42,372,350,15,2,363,335,37,353
2019-12-20,45,18,33,22,10,4,37,46,18,21
2020-01-09,41,17,37,33,10,0,36,41,9,17
2020-01-29,18,12,38,28,4,0,39,20,21,19
2020-02-18,35,13,46,42,6,0,56,35,16,30
2019-01-05,194,36,77,74,44,0,232,193,5,78
2019-01-06,190,38,56,58,53,0,203,189,5,58
2019-01-07,109,33,72,70,41,0,147,109,11,70
2019-01-08,136,24,50,45,29,2,119,135,8,62
2019-03-26,102,24,49,50,26,0,92,102,12,67
2019-03-27,156,40,87,86,88,0,178,157,45,127
2019-03-28,108,31,54,53,29,1,120,108,11,69
2019-06-22,370,44,228,228,46,0,456,370,27,236
2019-06-23,247,36,106,106,42,0,262,249,11,109
2019-06-24,197,34,122,121,34,1,234,197,16,113
2019-04-17,60,57,74,74,31,0,105,61,17,63
2019-04-18,135,43,67,67,28,3,150,137,12,77
2019-04-19,107,41,108,108,33,1,102,107,38,96
2019-09-13,2394,2182,184,184,2315,0,2484,2394,131,182
2019-10-03,140,62,79,77,67,5,171,141,23,89
2019-10-23,1250,895,285,255,914,266,1181,1264,94,310
2019-11-12,129,28,76,76,30,0,144,129,14,74
2019-12-02,74,92,261,209,24,1,120,74,79,217
2019-12-21,27,14,29,22,9,0,39,27,14,21
2020-01-10,41,17,42,30,10,3,42,43,16,22
2020-01-30,39,13,37,32,11,0,55,38,15,27
2020-02-19,48,25,52,46,19,0,64,49,20,44
2019-03-22,78,17,66,66,23,0,80,79,8,99
2019-03-23,57,18,44,42,14,0,62,57,5,55
2019-03-24,68,19,62,61,25,0,68,68,9,72
2019-03-25,102,23,98,94,45,2,84,105,22,98
2019-06-25,224,40,85,84,40,1,273,225,12,97
2019-06-26,621,49,272,268,68,4,741,625,17,242
2019-06-27,546,33,419,284,43,24,457,563,11,310
2019-06-28,193,24,95,94,25,0,203,194,11,75
2019-08-25,100,32,85,79,20,6,124,104,34,95
2019-08-26,80,34,68,67,24,3,103,81,25,84
2019-08-27,124,48,80,79,42,0,119,124,41,84
2019-09-14,2999,2840,188,183,2862,5,3114,2999,126,197
2019-10-04,134,42,66,66,47,26,152,135,36,71
2019-10-24,1118,933,156,156,961,4,1161,1120,104,201
2019-11-13,611,483,126,126,492,0,647,612,65,131
2019-12-03,87,140,222,113,19,1,159,87,134,106
2019-12-22,32,26,34,23,13,0,44,32,15,22
2020-01-11,26,13,20,13,9,4,41,27,8,14
2020-01-31,29,21,28,20,11,0,43,29,13,13
2020-02-20,48,22,34,30,20,0,46,48,15,21
2019-04-23,134,45,99,98,27,0,147,136,20,88
2019-04-24,125,18,124,122,16,4,104,127,21,114
2019-04-25,150,21,165,132,13,24,99,158,19,137
2019-06-13,188,24,77,77,29,0,208,188,7,71
2019-06-14,122,15,63,62,19,0,145,124,2,62
2019-06-15,155,14,82,82,18,0,182,155,9,79
2019-07-30,3384,3167,536,522,3166,39,3650,3386,393,660
2019-07-31,3248,3029,393,383,3042,13,3486,3248,276,477
2019-08-01,2434,2237,327,318,2256,11,2578,2436,208,375
2019-09-15,2000,1813,209,207,1842,2,2157,2001,156,226
2019-10-05,79,27,62,62,28,0,92,79,19,67
2019-10-25,1197,948,224,224,960,0,1297,1198,107,246
2019-11-14,1168,1010,217,205,1020,4,1291,1171,127,249
2019-12-04,74,86,106,55,30,4,106,75,56,58
2019-12-23,62,19,58,49,12,1,64,63,15,38
2020-01-12,20,11,23,16,10,6,30,21,12,14
2020-02-01,17,18,25,15,10,0,38,17,19,10
2020-02-21,35,21,48,16,15,1,48,35,14,14
2019-04-20,72,24,81,79,15,1,75,73,14,90
2019-04-21,75,13,63,62,14,2,66,76,13,64
2019-04-22,95,26,51,51,21,0,106,95,10,57
2019-04-10,190,37,120,118,46,2,219,195,18,121
2019-04-11,206,20,111,106,27,5,165,207,7,134
2019-04-12,128,25,75,71,24,2,121,128,10,77
2019-04-13,79,18,59,58,20,0,94,79,7,69
2019-08-18,1485,1281,259,255,1278,1,1638,1488,166,312
2019-08-19,1126,1002,157,153,991,5,1228,1129,92,190
2019-08-20,2035,1911,185,179,1909,6,2133,2038,98,221
2019-09-16,902,704,140,136,744,3,1002,904,72,171
2019-10-06,103,40,96,92,38,21,123,107,27,87
2019-10-26,1077,856,256,254,842,5,1187,1077,100,284
2019-11-15,1333,1119,244,240,1132,4,1389,1337,128,266
2019-12-05,48,60,84,44,19,1,76,48,55,45
2019-12-24,43,21,38,24,7,0,29,42,19,28
2020-01-13,27,22,29,20,14,1,32,27,15,11
2020-02-02,43,20,35,29,11,2,63,43,20,20
2020-02-22,11,8,13,10,5,2,23,11,9,11
2019-05-03,130,20,93,92,19,0,123,131,7,86
2019-05-04,59,14,128,127,15,1,62,59,10,124
2019-05-05,54,11,61,61,12,1,46,54,16,63
2019-07-11,337,51,268,241,33,20,222,342,13,253
2019-07-12,158,60,133,129,40,2,132,159,12,120
2019-07-13,127,39,119,117,24,2,115,130,7,121
2019-08-21,4446,4214,361,345,4246,15,4552,4454,219,423
2019-08-22,1839,1717,153,149,1709,4,1948,1840,89,188
2019-08-23,695,592,111,107,593,3,747,697,53,119
2019-08-24,184,106,87,86,101,1,201,185,42,98
2019-09-17,1026,806,186,186,827,0,1113,1026,83,177
2019-10-07,168,60,60,61,45,6,193,169,15,67
2019-10-27,1128,962,169,169,971,0,1261,1127,108,196
2019-11-16,853,727,149,149,758,0,978,853,95,180
2019-12-05,48,60,84,44,19,1,76,48,55,45
2019-12-25,38,12,40,31,7,5,28,38,9,49
2020-01-14,101,25,59,49,14,0,131,101,25,34
2020-02-03,24,24,32,25,15,4,38,24,20,20
2020-02-23,36,17,37,33,22,2,40,37,17,29
2019-02-06,168,32,93,85,34,5,133,170,21,116
2019-02-07,117,21,39,38,30,4,96,118,5,47
2019-02-08,200,25,83,80,43,0,223,200,13,92
2019-06-29,194,26,115,112,25,1,197,194,11,82
2019-06-30,238,43,176,164,50,6,249,243,10,152
2019-07-01,245,44,157,154,40,3,204,246,29,153
2019-09-09,910,830,98,97,837,0,971,911,52,104
2019-09-10,278,236,32,31,233,1,277,278,6,33
2019-09-11,440,380,66,67,394,0,467,441,29,66
2019-09-18,659,524,113,112,554,3,741,659,66,127
2019-10-08,120,60,74,73,40,1,147,120,17,79
2019-10-28,1166,981,189,175,998,10,1270,1167,106,206
2019-11-17,1410,1283,191,192,1290,0,1494,1410,120,211
2019-12-06,36,31,51,31,8,0,51,36,28,33
2019-12-26,48,23,47,37,12,2,52,48,14,40
2020-01-15,55,21,50,38,12,0,88,55,20,33
2020-02-04,29,16,18,14,13,7,32,29,6,8
2020-02-24,32,9,29,26,9,0,45,32,9,25
2019-04-29,79,24,85,85,21,0,67,78,4,86
2019-04-30,107,26,92,92,21,0,104,107,8,84
2019-05-01,82,21,61,62,23,0,89,82,6,62
2019-05-02,74,22,62,61,22,0,79,76,13,67
